04
61153,0.05,1.00,-0.04
61205,0.06,1.01,-0.03
61258,0.04,1.01,-0.03
61310,0.02,0.99,-0.03
,0.98,-0.05
61101,0.06,1.00,-0.04
61153,0.05,1.00,-0.04
61205,0.06,1.01,-0.03
61258,0.04,1.01,-0.03
61310,0.02,0.99,-0.03
1,0.02,0.99,-0.04
53,0.03,1.00,-0.04
105,0.03,1.00,-0.04
157,0.02,0.99,-0.04
209,0.04,1.00,-0.04
262,0.05,0.99,-0.04
314,0.06,1.00,-0.03
366,0.01,0.99,-0.04
418,0.03,1.00,-0.03
471,0.05,1.00,-0.03
523,0.02,0.99,-0.05
575,0.02,0.99,-0.03
627,0.03,1.00,-0.04
679,0.03,0.99,-0.04
732,0.01,0.99,-0.04
784,0.04,1.00,-0.04
836,0.04,1.00,-0.04
888,0.03,0.99,-0.03
941,0.03,1.00,-0.03
993,0.02,0.99,-0.04
1045,0.04,1.00,-0.05
1097,0.03,0.99,-0.04
1149,0.05,1.00,-0.04
1202,0.06,1.01,-0.04
1254,0.02,1.00,-0.04
1306,0.03,1.00,-0.04
1358,0.03,1.00,-0.04
1411,0.03,0.99,-0.04
1463,0.02,0.99,-0.03
1515,0.05,1.00,-0.03
1567,0.06,1.00,-0.04
1619,0.02,1.00,-0.03
1672,0.03,1.00,-0.04
1724,0.00,0.99,-0.04
1776,0.03,1.00,-0.05
1828,0.04,0.99,-0.04
1881,0.01,1.00,-0.03
1934,0.02,0.99,-0.04
1986,0.02,0.99,-0.04
2038,0.03,0.99,-0.05
2091,0.05,1.00,-0.04
2143,0.03,1.01,-0.04
2195,0.04,1.00,-0.03
2247,0.01,0.98,-0.04
2299,0.05,1.01,-0.04
2352,0.03,1.00,-0.04
2404,0.03,1.00,-0.04
2456,0.02,0.99,-0.04
2508,0.02,0.99,-0.03
2561,0.05,1.00,-0.05
2613,0.02,1.00,-0.03
2665,0.06,1.01,-0.04
2717,0.02,0.99,-0.04
2769,0.06,1.00,-0.03
2822,0.04,1.00,-0.04
2874,0.05,1.00,-0.03
2926,0.03,1.00,-0.03
2979,0.01,0.99,-0.05
3032,0.04,1.00,-0.05
3084,0.01,0.99,-0.03
3136,0.03,1.00,-0.04
3188,0.02,0.99,-0.04
3240,0.05,1.01,-0.03
3293,0.05,1.01,-0.03
3345,0.01,0.99,-0.03
3397,0.02,0.99,-0.04
3449,0.06,1.00,-0.03
3502,0.06,1.01,-0.03
3554,0.02,1.00,-0.04
