3449,0.04,-0.01,-1.06
3502,0.00,-0.00,-1.05
3554,0.01,-0.05,-1.06
3606,0.06,0.02,-1.05
3658,0.02,-0.04,-1.04
3710,0.05,0.06,-1.10
3763,-0.05,0.10,-1.03
3816,-0.02,-0.02,-1.04
3868,0.14,-0.05,-1.03
3920,0.04,0.02,-1.05
3973,-0.05,0.06,-1.07
4025,0.01,-0.09,-1.07
4077,-0.00,0.01,-1.05
4129,-0.01,0.01,-1.03
4182,0.10,-0.00,-1.06
4234,-0.02,-0.02,-1.03
4286,0.05,-0.08,-1.02
4338,-0.17,0.05,-1.11
4390,0.18,-0.02,-0.99
4443,0.07,-0.06,-0.98
4495,0.13,-0.09,-0.94
4547,-0.03,0.06,-1.08
4599,-0.14,0.05,-0.95
4653,-0.05,0.05,-1.05
4705,0.02,-0.09,-1.18
4757,-0.13,-0.10,-1.03
4809,0.10,-0.05,-1.04
4861,0.04,-0.06,-1.04
4914,0.11,0.04,-0.99
4966,-0.04,-0.04,-1.03
5018,0.04,0.04,-1.07
5070,-0.12,0.52,-1.07
5123,0.08,-0.11,-1.05
5175,0.04,-0.09,-1.06
5227,-0.06,-0.04,-1.06
5279,0.10,-0.03,-1.03
5331,0.09,-0.01,-0.99
5384,0.01,0.07,-1.09
5437,0.06,-0.32,-1.05
5489,0.02,-0.22,-1.04
5541,0.00,-0.16,-1.08
5594,-0.02,-0.11,-1.04
5646,0.00,-0.04,-1.05
5698,0.00,-0.04,-1.04
5750,0.05,-0.04,-1.05
5803,0.03,-0.04,-1.05
5855,0.01,-0.04,-1.05
5907,0.02,-0.05,-1.06
5959,0.03,-0.03,-1.05
6011,0.03,-0.04,-1.05
6064,0.04,-0.02,-1.04
6116,0.01,-0.03,-1.05
6168,0.04,-0.03,-1.05
6220,0.05,-0.02,-1.05
6273,0.02,-0.04,-1.05
6326,0.00,-0.03,-1.05
6378,0.01,-0.04,-1.05
