74,1.01,-0.02,-0.06
59126,1.03,-0.01,-0.06
59179,1.03,-0.02,-0.05
59231,1.04,-0.01,-0.04
,-0.06
59022,1.01,-0.02,-0.05
59074,1.01,-0.02,-0.06
59126,1.03,-0.01,-0.06
59179,1.03,-0.02,-0.05
59231,1.04,-0.01,-0.04
,-0.06
59022,1.01,-0.02,-0.05
59074,1.01,-0.02,-0.06
59126,1.03,-0.01,-0.06
59179,1.03,-0.02,-0.05
59231,1.04,-0.01,-0.04
1,1.01,-0.02,-0.05
53,1.01,-0.02,-0.05
105,1.03,-0.01,-0.05
157,1.03,-0.01,-0.06
209,1.02,-0.01,-0.05
262,1.04,-0.00,-0.05
314,1.03,-0.01,-0.05
366,1.03,-0.01,-0.06
418,1.02,-0.02,-0.06
471,1.02,-0.01,-0.06
523,1.01,-0.02,-0.05
575,1.03,-0.01,-0.06
627,1.01,-0.02,-0.06
679,1.02,-0.01,-0.05
732,1.05,-0.00,-0.05
784,1.04,0.01,-0.06
836,1.03,-0.01,-0.05
888,1.05,-0.00,-0.05
941,1.02,0.00,-0.08
993,1.02,-0.01,-0.04
1045,1.01,-0.02,-0.06
1097,1.01,-0.02,-0.06
1149,1.04,-0.01,-0.05
1202,1.00,-0.02,-0.05
1254,1.01,-0.02,-0.06
1306,1.05,-0.01,-0.06
1358,1.03,-0.00,-0.06
1411,1.02,-0.02,-0.05
1463,1.03,0.00,-0.05
1515,1.04,0.00,-0.05
1567,1.05,-0.00,-0.05
1619,1.03,-0.01,-0.04
1672,1.04,-0.01,-0.06
1724,1.04,-0.01,-0.06
1777,1.02,-0.01,-0.05
1829,1.00,-0.01,-0.06
1882,1.03,-0.00,-0.05
1934,1.00,-0.02,-0.05
1986,1.01,-0.01,-0.05
2038,1.00,-0.02,-0.05
2091,1.03,-0.00,-0.06
2143,1.04,-0.00,-0.05
2195,1.05,-0.00,-0.05
2247,1.02,-0.01,-0.05
2299,1.03,-0.02,-0.05
2352,1.03,-0.01,-0.05
2404,1.05,0.00,-0.05
2456,1.04,-0.01,-0.04
2508,1.02,-0.01,-0.05
2561,1.05,-0.01,-0.05
2613,1.03,-0.01,-0.05
2665,1.01,-0.02,-0.06
2717,1.03,-0.01,-0.05
2770,1.05,-0.00,-0.05
2823,1.04,-0.00,-0.05
2875,1.04,-0.01,-0.05
2927,1.03,-0.00,-0.05
2979,1.05,-0.01,-0.04
3032,1.04,-0.01,-0.05
3084,1.02,-0.02,-0.05
3136,1.03,0.00,-0.06
3188,1.01,-0.03,-0.05
3240,1.03,-0.01,-0.05
3293,1.02,-0.02,-0.06
3345,1.01,-0.01,-0.05
3397,1.01,-0.01,-0.05
3449,1.01,-0.01,-0.06
3502,1.04,-0.02,-0.05
3554,1.04,-0.00,-0.04
3606,1.00,-0.02,-0.06
3658,1.04,-0.01,-0.06
3712,1.01,-0.01,-0.05
3764,1.01,-0.02,-0.05
3816,1.03,-0.01,-0.04
3868,1.05,-0.01,-0.04
3920,1.04,-0.00,-0.06
3973,1.04,-0.01,-0.06
4025,1.00,-0.02,-0.05
4077,1.01,-0.00,-0.06
4129,1.04,-0.01,-0.05
4182,1.01,-0.02,-0.05
4234,1.00,-0.00,-0.06
4286,1.06,-0.00,-0.06
4338,1.04,-0.01,-0.05
4390,1.01,-0.01,-0.06
4443,1.02,-0.01,-0.05
4495,1.03,-0.01,-0.05
4547,1.01,-0.01,-0.06
4599,1.04,0.00,-0.05
4652,1.05,0.00,-0.05
4704,1.01,-0.01,-0.05
4757,1.03,-0.01,-0.04
4809,1.01,-0.01,-0.04
4861,1.03,-0.02,-0.05
4914,1.01,-0.01,-0.05
4966,1.05,-0.00,-0.05
5018,1.04,0.00,-0.06
5070,1.05,-0.01,-0.06
5123,1.00,-0.01,-0.05
5175,1.02,-0.01,-0.06
5227,1.00,-0.02,-0.05
5279,1.05,-0.00,-0.06
5331,1.01,-0.01,-0.06
5384,1.00,-0.01,-0.06
5436,1.00,-0.01,-0.06
5488,1.00,-0.01,-0.05
5540,1.02,-0.01,-0.05
5593,1.05,-0.00,-0.05
5645,1.03,-0.01,-0.05
5697,1.03,-0.01,-0.05
5750,1.05,-0.00,-0.05
5803,1.01,-0.01,-0.04
5855,1.04,-0.01,-0.06
5907,1.05,-0.01,-0.05
5959,1.04,-0.00,-0.05
6011,1.01,-0.02,-0.06
6064,1.02,-0.01,-0.05
6116,1.04,-0.00,-0.06
6168,1.04,-0.01,-0.05
6220,1.01,-0.01,-0.05
6273,1.01,-0.02,-0.05
6325,1.02,-0.01,-0.06
6377,1.03,-0.02,-0.05
6429,1.01,-0.02,-0.05
6481,1.03,-0.01,-0.05
6534,1.02,-0.01,-0.05
6586,1.04,-0.00,-0.05
6638,1.02,-0.02,-0.05
6691,1.03,-0.02,-0.05
6744,1.04,-0.00,-0.04
6796,1.03,-0.01,-0.05
6848,1.04,-0.00,-0.05
6900,1.01,-0.02,-0.05
6952,1.01,-0.01,-0.06
7005,1.05,-0.00,-0.05
7057,1.02,-0.01,-0.06
7109,1.01,-0.01,-0.05
7161,1.02,-0.02,-0.05
7214,1.03,-0.01,-0.05
7266,1.01,-0.02,-0.06
7318,1.03,-0.00,-0.04
7370,1.02,-0.01,-0.05
7422,1.02,-0.01,-0.06
7475,1.04,-0.01,-0.05
7527,1.02,-0.01,-0.05
7579,1.03,-0.01,-0.04
7632,1.03,-0.01,-0.05
7685,1.05,0.01,-0.05
7737,1.01,-0.01,-0.07
7789,1.04,-0.00,-0.05
7841,1.02,-0.01,-0.05
7894,1.01,-0.01,-0.04
7946,1.04,-0.01,-0.03
7998,1.04,-0.00,-0.05
8050,1.02,-0.02,-0.05
8102,1.04,0.00,-0.05
8155,1.03,-0.01,-0.05
8207,1.03,-0.01,-0.05
8259,1.03,-0.01,-0.05
8311,1.04,-0.01,-0.05
8364,1.02,-0.02,-0.05
8416,1.04,-0.01,-0.04
8468,1.03,-0.01,-0.05
8520,1.02,-0.01,-0.06
8573,1.04,-0.01,-0.05
8626,1.04,-0.00,-0.06
8678,1.05,-0.00,-0.07
8730,1.03,-0.01,-0.05
8782,1.05,-0.01,-0.05
8835,1.05,0.00,-0.05
8887,1.00,-0.02,-0.04
8939,1.02,-0.02,-0.04
8991,1.02,-0.01,-0.05
9043,1.03,-0.00,-0.05
9096,1.05,-0.00,-0.05
9148,1.01,-0.01,-0.05
9200,1.04,-0.01,-0.05
9252,1.02,-0.02,-0.06
9305,1.01,-0.02,-0.05
9357,1.03,-0.01,-0.05
9409,1.03,-0.01,-0.05
9461,1.01,-0.01,-0.05
9513,1.04,-0.01,-0.05
9567,1.05,-0.00,-0.05
9619,1.04,-0.00,-0.06
9671,1.00,-0.01,-0.06
9723,1.00,-0.02,-0.06
9776,1.02,-0.01,-0.05
9828,1.01,-0.02,-0.06
9880,1.03,-0.01,-0.05
9932,1.02,-0.02,-0.04
9985,1.00,-0.01,-0.06
10037,1.01,-0.01,-0.06
10089,1.05,-0.01,-0.06
10141,1.01,-0.02,-0.05
10193,1.00,-0.01,-0.06
10246,1.04,-0.01,-0.04
10299,1.03,-0.01,-0.05
10351,1.03,-0.00,-0.06
10403,1.05,-0.00,-0.04
