3449,0.05,-1.01,0.00
3502,0.04,-1.01,0.02
3554,0.01,-1.02,0.01
3606,0.04,-1.01,0.02
3658,0.04,-1.00,0.02
3710,0.03,-1.01,0.02
3764,0.05,-1.01,0.01
3816,0.08,-1.00,-0.01
3868,0.20,-1.06,-0.10
3920,0.13,-1.06,-0.00
3973,0.21,-0.97,-0.08
4025,0.16,-1.04,0.06
4077,0.47,-1.13,-0.39
4129,0.04,-1.13,-0.13
4182,0.38,-1.33,0.11
4234,0.18,-0.88,-0.06
4286,0.11,-0.90,0.01
4338,0.04,-0.95,-0.10
4390,-0.22,-1.16,0.09
4443,0.28,-0.91,0.03
4495,0.39,-1.09,0.12
4548,0.13,-1.15,0.04
4600,-0.03,-0.93,-0.01
4653,0.16,-1.01,0.12
4705,-0.16,-0.99,-0.07
4757,-0.04,-1.09,-0.18
4809,0.02,-1.00,-0.01
4861,0.25,-0.89,0.02
4914,-0.37,-1.02,0.17
4966,-0.15,-1.06,-0.20
5018,-0.28,-0.99,0.16
5070,-0.12,-1.02,0.05
5123,0.05,-1.02,-0.13
5175,-0.01,-0.94,-0.02
5227,0.25,-0.96,-0.14
5280,0.17,-1.18,-0.06
5332,0.03,-0.99,0.24
5385,-0.17,-1.00,0.16
5437,0.00,-1.04,0.08
5489,0.05,-1.02,0.02
5541,-0.10,-1.02,0.06
5594,0.04,-1.01,0.00
5646,0.01,-1.02,0.01
5698,0.03,-1.02,-0.01
5750,0.01,-1.02,0.00
5803,0.05,-1.01,0.00
5855,0.05,-1.00,0.01
5907,0.03,-1.01,0.03
5959,0.04,-1.00,0.02
6011,0.04,-1.00,0.02
6064,0.01,-1.01,-0.00
6116,0.06,-1.00,0.02
6168,0.03,-1.01,0.00
6221,0.02,-1.02,0.01
6274,0.03,-1.01,0.01
6326,0.04,-1.01,0.00
6378,0.02,-1.02,0.01
