3450,0.06,-0.04,-1.05
3503,0.10,-0.03,-1.05
3555,0.10,-0.02,-1.05
3607,0.10,-0.03,-1.05
3659,0.08,-0.03,-1.05
3712,0.09,-0.03,-1.05
3764,0.11,-0.03,-1.04
3816,0.09,-0.04,-1.05
3868,-0.04,-0.15,-1.20
3920,0.08,-0.05,-1.08
3973,0.08,-0.03,-1.06
4025,0.03,-0.04,-1.05
4077,0.07,-0.04,-1.05
4129,0.22,-0.03,-1.04
4182,0.32,0.00,-0.98
4234,0.16,-0.28,-0.96
4287,0.19,0.12,-0.87
4339,0.16,0.02,-0.82
4391,-0.10,-0.01,-1.00
4444,0.06,0.05,-1.19
4496,-0.21,0.02,-1.04
4548,0.50,-0.21,-1.25
4600,-0.14,-0.03,-1.05
4653,0.16,0.01,-0.98
4705,0.04,-0.02,-1.05
4757,0.04,-0.13,-1.09
4809,-0.01,-0.10,-1.18
4861,0.10,-0.03,-0.99
4914,0.10,0.06,-1.01
4966,-0.15,0.10,-1.13
5019,0.01,-0.03,-1.05
5071,0.00,-0.15,-0.84
5124,0.09,0.03,-0.98
5176,0.02,-0.07,-1.07
5228,-0.07,-0.05,-1.03
5280,-0.09,0.07,-1.20
5332,-0.06,0.03,-1.11
5385,0.07,-0.04,-1.25
5437,0.24,-0.08,-0.83
5489,0.04,-0.03,-1.42
5541,0.03,0.03,-1.06
5594,-0.10,-0.02,-0.95
5646,-0.15,-0.03,-1.00
5698,0.03,-0.01,-1.10
5750,-0.04,-0.03,-1.23
5803,-0.08,-0.03,-1.08
5856,-0.04,-0.06,-1.07
5908,-0.04,-0.04,-1.06
5960,0.01,-0.04,-1.05
6012,0.03,-0.03,-1.06
6065,0.03,-0.04,-1.05
6117,0.04,-0.03,-1.04
6169,0.05,-0.03,-1.06
6221,0.03,-0.04,-1.06
6274,0.02,-0.04,-1.04
6326,0.03,-0.04,-1.05
6378,0.02,-0.05,-1.05
6430,0.02,-0.05,-1.05
